x,red
-219.099,88.8
-217.44,-9.07
-216.113,31.15
-213.901,62.16
-212.243,16.79
-210.694,40.3
-206.547,61.91
-206.271,-80.1
-203.692,34.26
-191.673,99.79
-191.01,84.78
-190.567,93.64
-187.581,100.09
-186.918,7.68
-185.038,58.12
-164.968,91.56
-163.478,7.1
-161.261,60.96
-155.953,90.57
-151.53,-89.84
-150.832,-64.38
-150.414,-54.07
-149.648,-71.26
-149.09,-33.03
-148.38,3.72
-147.349,-1.69
-144.423,28.57
-140.635,48.83
-140.243,-36.77
-139.755,-28.18
-139.267,-23.89
-138.48,-89.96
-135.716,20.82
-129.375,82.76
-128.399,61.92
-126.727,67.06
-126.031,71.78
-124.916,57.16
-123.941,61.23
-123.105,64.02
-122.003,11.82
-120.676,34.31
-119,53.92
-118.576,14.78
-118.019,22.73
-117.462,28.09
-116.805,-26.41
-113.266,42.08
-106.741,81.91
-105.857,71.68
-105.304,79.85
-84.181,97.38
-82.744,38.72
-81.196,64.28
-77.104,79.24
-75.003,3.18
-72.791,50.56
-66.598,80.16
-65.491,10.19
-65.073,20.71
-64.515,29.08
-63.391,-75.01
-62.285,17.38
-60.626,55.89
-59.41,33.04
-58.525,37.46
-57.53,47.68
-56.424,-2.79
-54.433,46.63
