x,Curve1
-1023.26,249.593
-1018.26,194.908
-1009.87,235.951
-920.83,249.483
-918.29,226.748
-911.73,244.423
-820.23,248.762
-818.66,219.884
-807.53,237.075
-717.8,248.652
-717.01,223.235
-702.75,242.29
-615.38,247.315
-614.84,205.537
-603.57,238.111
-515.88,248.437
-512.35,223.177
-506.62,239.212
-415.86,247.943
-411.61,216.219
-401.72,235.187
-313.57,247.834
-309.24,220.57
-302.66,239.609
-210.47,245.722
-207.77,214.933
-199.35,236.427
-108.5,243.426
-106.32,206.838
-99.62,240.873
-48.61,244.88
