x,Curve1-4
-784.761,29.8894
-780.904,32.3511
-778.7,31.9684
-777.529,31.4762
-776.493,31.9139
-771.058,30.8933
59510.48,29.8894
59512.88,32.9372
59513.605,32.7247
59514.488,32.6792
59517.51,33.1339
59524.569,32.443
119661.726,29.8894
119663.782,31.2219
119665.821,31.0842
119670.073,29.959
119673.24,31.0848
119676.205,30.8783
119680.645,29.8909
119693.375,32.074
119698.471,31.6839
179931.788,29.8894
179934.787,32.6231
179936.64,32.4165
179938.029,32.2673
179943.146,33.6575
179950.928,32.9689
179962.228,31.7753
179964.274,32.2578
179971.757,31.9434
179979.482,31.0289
