time,signal
0,0
4.117,-20.8
13.12,-7.696
50,-0.131051286
54.117,-28.39825129
63.11366667,-10.51470466
100,-0.178924392
104.117,-33.12626119
111.6388033,-14.4349309
150,-0.20871342
154.117,-37.56266341
160.5793944,-18.3996521
200,-0.236665161
204.117,-41.61567557
209.7815679,-22.26256574
250,-0.262201337
254.117,-45.17669022
259.1590879,-25.88736287
300,-0.284637661
304.117,-48.13699391
308.6598713,-29.14711635
350,-0.303289181
354.117,-50.38787251
358.2506036,-31.92065419
400,-0.317470937
404.117,-51.82061191
407.9089835,-34.09046666
450,-0.326497973
454.117,-52.32649797
457.6195191,-35.54145918
60000,0
60004.117,-20.8
60013.12,-7.696
60100,-0.000524036
60104.117,-30.97172404
60113.16257,-11.40579522
60200,-0.000780303
