x,Curve1
0,0
3.13,-2.375
11.72,-0.875
5100,0.552
5110.16,-6.948
5125,-3.823
60000,0
60006.92,-17.81
60016.69,-12.31
60037.78,-4.81
60043.64,-22.56
60057.31,-13.81
60076.45,-6.31
60083.48,-22.81
60094.42,-15.247
60114.72,-7.31
60122.54,-21.31
60133.49,-16.245
60152.84,-7.909
60161.62,-19.409
60177.22,-12.752
65292.88,0.089
65298.54,-31.852
65311.56,-21.633
65330.78,-9.828
65338.85,-30.364
65348.76,-22.625
65369.85,-9.828
65375.43,-23.023
65384.73,-16.673
65408.91,-8.339
65416.35,-21.633
65425.65,-16.177
65449.22,-9.034
65454.18,-15.78
65469.68,-11.713
65497.58,-5.76
