x,Curve1
0,0
4.69,-15.147
12.5,-7.205
5107.81,-0.22
5111.33,-19.852
5120.31,-8.161
60000,0
60003.13,-18.824
60012.5,-8.75
60040.63,-1.471
60042.19,-12.941
60051.56,-5.588
60077.35,-1.03
60079.69,-17.353
60090.63,-8.272
60116.8,-2.647
60120.31,-12.353
60132.42,-5.588
60153.91,-1.324
60157.03,-12.059
60165.63,-6.287
65297.27,-0.221
65301.56,-19.081
65311.33,-9.044
65337.11,-2.647
65340.24,-10.331
65348.83,-6.508
65375.39,-1.434
65378.52,-11.103
65385.94,-6.765
65414.46,-2.059
65418.75,-6.177
65425.78,-3.162
65450.39,0.22
65455.08,-10.478
65460.94,-6.471
65472.66,-1.618
