x,Curve1
-1035.022,2037.7
-1027.792,1341.93
-1019.716,1930
-931.728,2027.28
-925.372,1627.89
-917.47,1965.09
-830.589,2027.76
-824.657,1671.89
-814.483,1970.38
-728.22,2028.26
-727.499,1750.49
-716.184,1950.7
-628.648,2019.65
-624.9,1752.88
-613.901,1969.38
-524.678,2026.26
-522.263,1787.37
-504.872,1987.3
-426.801,2018.09
-422.486,1786.64
-408.897,1966.93
-323.105,2022.04
-321.3,1766.2
-310.225,1954.4
-223.157,2020.44
-219.083,1790.05
-208.154,1988.93
-121.782,2023.5
-119.981,1764.64
-110.4,1947.95
-51.881,2021.75
