x,Curve1
-1035.526,3613.14
-1032.79,1508.25
-1010.995,3535.47
-933.472,3597.61
-930.998,1993.7
-913.038,3551
-834.691,3597.61
-831.425,2040.3
-816.692,3523.82
-730.194,3593.72
-729.467,2207.29
-719.53,3496.63
-631.415,3597.61
-627.496,2350.99
-616.683,3527.7
-531.003,3601.49
-527.941,2432.54
-514.643,3539.35
-428.961,3609.26
-427.546,2467.49
-406.076,3558.77
-329.357,3597.61
-324.693,2486.91
-310.552,3543.24
-227.311,3597.61
-224.288,2502.44
-209.314,3527.7
-125.263,3593.72
-124.729,2576.23
-112.985,3531.59
-59.133,3585.96
