x,Curve1
-2086.27,-2.873
-2081.92,1.739
-2069.06,-0.102
-2052.32,-0.733
-2049.2,6.397
-2035.21,2.529
-2018.64,0.658
-2015.72,5.353
-1998.24,1.897
-1985.28,0.496
-1982.32,4.905
-1966.3,1.758
-1951.92,0.311
-1948.35,5.466
-1932.66,2.275
-1920.05,0.702
-1913.51,4.834
-1898.96,2.119
-1884.91,0.609
-1878.81,5.272
-1866.19,2.405
-1853.19,0.679
-1848.97,4.906
-1838.71,2.458
-1820.24,0.866
-1818.39,4.335
-1731.4,-2.064
-1569.54,-2.563
-1563.84,5.118
-1551.94,1.002
-1534.7,-0.642
-1529.84,5.453
-1516.27,2.248
-1502.88,0.344
-1501.31,4.304
-1483.89,1.343
-1470.25,-0.075
-1465.99,1.432
-1449.69,0.195
-1437.36,-0.461
-1433.54,6.786
-1415.95,2.507
-1404.35,0.587
-1399.21,4.65
-1383.96,2.191
-1369.39,0.478
-1365.1,4.162
-1353.42,1.693
-1336.21,0.301
-1331.07,4.332
-1319.35,1.534
-1304.79,-0.075
-1299.42,2.196
-1290.93,1.209
-1279.47,0.388
-1273.98,1.706
-1233.29,-1.482
-1054.8,-2.375
-1053.13,5.201
-1035.62,1.581
-1021.08,0.101
-1018.47,7.348
-1001.75,2.904
-986.2,0.576
-985.07,5.542
-966.83,3.04
-953.43,1.067
-949.85,3.415
-937.13,2.185
-921.15,0.966
-916.91,5.059
-902.19,2.2
-887.1,0.894
-882.54,2.594
-871.03,1.443
-853.84,0.189
-848.4,1.941
-836.9,0.79
-825.44,-0.032
-820.44,5.074
-803.06,2.364
-788.84,0.876
-786.18,3.433
-687.74,-1.597
-539.28,-2.508
-536.3,2.001
-521.73,0.338
-503.94,-1.105
-502.25,1.997
-486.82,0.517
-472.65,-0.502
-468.12,1.344
-456.61,0.193
-437.7,-0.548
-434.51,4.643
-422.79,1.845
-403.75,0.151
-400.61,5.802
-387.04,2.51
-371.58,0.823
-366.26,3.502
-354.75,2.291
-339.63,0.855
-332.04,2.19
-323.53,1.064
-308.18,0.217
-298.18,3.677
-289.22,1.451
-273.26,0.371
-270.03,5.329
-231.22,0.761
-196.8,-0.986
