x,Curve1
-186.334,1.9059
-179.718,1.5809
-178.779,1.6168
-177.839,1.6392
-170.075,1.0711
-168.947,1.0934
-168.008,1.1248
-159.88,0.7232
-159.316,0.7456
-158.377,0.7725
-149.316,0.4922
-148.189,0.528
-147.437,0.5549
-139.891,0.3828
-138.763,0.4052
-137.822,0.414
-133.863,0.364
-130.852,0.395
-128.221,0.4622
-123.883,0.3805
-120.496,0.4116
-118.243,0.5057
-112.778,0.469
-109.202,0.4909
-107.702,0.5807
-104.876,0.5623
-102.62,0.625
-100.364,0.6697
-98.666,0.6334
-96.223,0.7051
-92.838,0.7721
-84.175,0.7664
-80.222,0.7973
-77.024,0.8418
-73.254,0.7963
-65.916,0.8942
-55.005,1.0547
