x,Curve1
-234.059,-6.739
-231.789,-11.013
-226.575,-8.968
-212.983,-7.537
-211.961,-20.095
-205.333,-10.727
-192.539,-8.329
-191.23,-15.616
-187.047,-10.591
-172.3,-8.518
-171.483,-20.512
-166.975,-12.227
-152.242,-9.43
-150.776,-24.806
-142.458,-12.341
-131.83,-8.572
-129.958,-24.793
-122.994,-12.689
-110.794,-9.727
-109.35,-23.976
-104.091,-14.243
-91.545,-9.109
-89.522,-33.058
-82.832,-16.888
-71.092,-10.303
-68.572,-39.847
-62.488,-22.55
-50.611,-12.947
-49.082,-31.543
-40.829,-15.737
-29.537,-11.376
