time,signal
0,0
0.433,-504
6.544,-186.48
10,-106.2757355
10.433,-423.7957355
15.2165,-194.6069623
60000,0
60000.433,-504
60006.544,-186.48
60020,-20.88537488
60020.433,-378.7253749
60026.54769,-140.0443436
120000,0
120000.433,-504
120006.544,-186.48
120100,-4.65E-05
120100.433,-347.7600465
120106.5791,-127.9382738
180000,0
180000.433,-504
180006.544,-186.48
180500,-2.53E-33
180500.433,-398.16
180506.5777,-146.5128193
240000,0
240000.433,-504
240006.544,-186.48
241000,-1.19E-68
241000.433,-413.28
241006.5785,-152.0574671
300000,0
300000.433,-504
300006.544,-186.48
302000,-2.60E-139
302000.433,-453.6
302006.5789,-166.8818495
360000,0
360000.433,-504
360006.544,-186.48
363000,-5.69E-210
363000.433,-509.04
363006.579,-187.274596
420000,0
420000.433,-504
420006.544,-186.48
425000,0
425000.433,-519.12
425006.5791,-190.9798029
