x,Curve1
0,95.74
1.25,-60.56
5.27,81.15
1000,95
1000.37,-17.93
1005,87.26
1019.77,96.34
1020.16,-7.61
1024.93,86.67
1039.68,92.76
1040.09,-3.06
1044.35,82.67
1059.93,94.95
1060.22,12.17
1064.13,86.36
1079.54,95.86
1079.84,20.14
1085.03,90.47
1098.98,96.34
1099.78,27.25
1103,87.11
1119.06,96.61
1119.37,23.03
1123.41,86.31
1139.15,98.16
1139.63,30.57
1143.02,90.42
1158.59,97.78
1158.92,34.9
1161.79,81.72
1178.99,96.55
1179,33.03
1182.86,88.39
1198.59,96.18
1199.09,35.43
1201.96,83.96
1218.36,97.3
1218.88,45.97
1221.08,83.16
1238.61,98.21
1238.62,38.32
1241.49,86.21
1258.04,98.48
1258.72,43.51
1261.41,84.55
1277.48,98.32
1277.99,43.35
1281.01,82.25
1297.24,97.73
1297.77,47.25
1300.29,85.95
1317.16,97.57
1317.2,44.74
1320.05,84.93
1337.25,98.27
1337.62,52.06
1340.14,85.41
1357.01,98.32
1357.08,57.47
1360.07,89.1
1377.1,98.37
1377.34,62.65
1379.67,89.58
2000,95.76
2000.2,43.36
2003.23,88.67
2020.25,96.88
2020.61,45.54
2023.46,82.09
2040.02,98.21
2040.55,49.66
2043.24,89.42
2060.27,98.48
2060.47,50.14
2063.17,93.75
2080.03,100.03
2080.4,52.97
2083.25,89.1
2100.77,99.65
2100.82,54.73
2103.83,92.99
2120.04,99.92
2120.26,57.36
2123.09,89.84
2139.48,99.55
2139.86,58.05
2142.86,90.75
2160.21,99.81
2160.6,60.67
2163.27,92.51
2180.3,100.07
2180.53,60.93
2183.35,89.78
2200.22,100.77
2200.29,61.63
2202.95,88.77
2219.82,100.4
2220.06,67.24
2222.23,90.11
2239.26,100.45
2239.66,66.44
2242.8,89.3
2258.86,100.29
2258.94,69.07
2261.27,93.86
2279.27,100.13
2279.52,71.04
2281.67,88.13
2298.87,99.97
2299.29,73.45
2301.59,88.19
2318.63,100.45
2319.37,70.29
2321.37,93.8
2338.39,100.72
2338.65,72.49
2341.29,92.14
2357.99,100.99
2358.75,77.89
2361.54,93.69
2378.08,100.61
2378.84,80.08
2381.13,92.03
2383.74,97.79
