time,signal
0,0
0.624,-166.264
1.99,-61.51768
10,-0.18071977
10.624,-129.3678478
11.99275912,-47.77007317
20,-0.140615694
20.624,-100.5190141
21.8183949,-42.14004823
30,-0.109258608
30.624,-78.10327421
31.68343503,-36.12246891
40,-0.084893938
40.624,-60.68624406
41.57587817,-30.35271987
50,-0.06596259
50.624,-47.15321163
51.48814747,-25.13915488
60,-0.051252933
60.624,-36.63804544
61.41522363,-20.59791304
70,-0.039823529
70.624,-28.46776131
71.35364981,-16.73817023
80,-0.030942882
80.624,-22.11945054
81.30096751,-13.51394329
90,-0.024042619
90.624,-17.18681307
91.25538047,-10.85458847
720,0
720.624,-104.74632
721.99,
