x,Curve 4
-604.39,-11.1509
-598.68,-12.0403
-592.11,-11.8425
-584.21,-11.5643
-575.88,-12.2726
-569.74,-12.1654
-561.4,-11.8637
-553.95,-12.4411
-544.74,-12.22
-539.04,-11.8309
-525.44,-12.3448
-520.18,-12.1168
-515.35,-11.6807
-504.39,-12.3656
-499.12,-12.0839
-491.23,-11.7251
-484.65,-12.2186
-478.07,-11.9538
-469.3,-11.5883
-458.33,-12.0115
-450.88,-11.8137
-444.74,-11.3911
-436.4,-11.9216
-430.7,-11.697
-424.12,-11.2173
-414.91,-11.7982
-405.7,-11.6206
-399.56,-11.3222
-390.35,-11.8594
-372.81,-11.4405
-321.93,-11.0026
