time,signal
0.0,0.0
2.25,-107.1
10.02,-51.78406617986723
33.33,-5.8535075607619955
35.58,-126.87650756076198
40.76,-78.16020103569436
66.66,-6.934384652567664
68.91,-109.75038465256765
72.795,-76.31490890150899
99.99,-5.998363271338395
102.24,-101.3173632713384
105.348,-75.76114859538717
133.32,-5.537459868769832
135.57,-121.20545986876984
138.16,-95.13151426793367
166.64999999999998,-6.624435814635658
168.89999999999998,-112.65343581463566
171.11999999999998,-91.53241506457805
199.98,-6.1570283686908125
202.23,-126.10902836869082
204.17249999999999,-105.1593393753723
233.31,-6.892438385027831
235.56,-113.99243838502782
237.28666666666666,-96.99384913609045
266.64,-6.230211017333859
268.89,-106.90421101733385
270.44399999999996,-92.44345069464045
299.96999999999997,-5.842806792411388
302.21999999999997,-115.08480679241137
303.63272727272727,-100.8410569416426
333.29999999999995,-6.289913974679864
