x,Curve1
-1222.03,6.36
-1211.17,-2.42
-1201.87,0.75
-1184.82,4.9
-1176.29,-2.91
-1166.99,1
-1153.03,3.56
-1146.83,-15.83
-1133.65,-7.78
-1122.8,-1.08
-1114.27,-16.2
-1103.42,-9.25
-1091.79,0.02
-1080.16,-15.34
-1068.54,-7.66
-1057.68,0.14
-1041.41,-18.76
-1035.98,-8.76
-1024.35,-1.08
-1008.85,-14.86
-1002.65,-8.03
-990.24,-0.83
-977.06,-14
-969.31,-7.42
-957.68,0.51
-942.18,-13.15
-935.98,-6.69
-925.9,1.49
-909.62,-13.15
-904.97,-6.2
-890.24,1.36
-877.06,-9.73
-872.41,-4.37
-861.56,2.34
-843.73,-8.51
-838.3,-3.15
-829,2.7
-815.82,-6.69
-808.07,-3.27
-795.67,2.83
-779.39,-7.54
-770.86,-3.15
-760.78,2.7
-746.06,-6.81
-738.3,-1.56
-238.3,4.66
-228.23,-9.98
-213.5,-1.81
-139.08,4.53
