x,Curve1
-1154.34,5.73
-1139.9,1.5322
-1127.18,2.1903
-1122.83,2.6696
-1117.96,2.5591
-1109.36,3.5177
-1084.54,4.8961
-1078.08,4.7475
-1067.53,5.152
-1057.07,5.5627
-1045.81,5.1482
-1035.42,5.321
-1022.56,5.4822
-1010.44,5.0428
-1001.09,5.1835
-990.94,5.3736
-980.91,5.0346
-969.04,5.2517
-957.22,5.4701
-943.88,4.8639
-932.32,5.0668
-923.69,5.3354
-916.06,4.9905
-904.67,5.2026
-892.05,5.3877
-881.65,4.9944
-869.17,5.1845
-859.68,5.4139
-848.98,5.0357
-837.72,5.2407
-826.76,5.4602
-816.82,4.8236
-807.03,5.0438
-792.99,5.3948
-780.26,5.0407
-770.04,5.2005
-760.92,5.451
-749,4.9785
-738.91,5.1584
-727.64,5.4733
-713.61,5.064
-702.23,5.2559
-694.96,5.4952
-684.01,5.0548
-675,5.4539
-172.62,5.8499
-157.09,1.4419
-98.63,5.2903
-78.31,5.6757
