x,curve
5.884,0
7.255,0
8.983,0
45.218,0
45.576,0
46.41,0
83.182,0
83.48,0
84.314,0
121.86,0
122.099,0
123.052,0
165.884,0
167.255,
168.983,
205.218,
205.576,
206.41,
243.182,
243.48,
244.314,
281.86,
282.099,
283.052,
325.884,
327.255,
328.983,
365.218,
365.576,
366.41,
403.182,
403.48,
404.314,
441.86,
442.099,
443.052,
485.884,
487.255,
488.983,
525.218,
525.576,
526.41,
563.182,
563.48,
564.314,
601.86,
602.099,
603.052,
645.884,
647.255,
648.983,
685.218,
685.576,
686.41,
723.182,
723.48,
724.314,
761.86,
762.099,
763.052,
805.884,
807.255,
808.983,
845.218,
845.576,
846.41,
883.182,
883.48,
884.314,
921.86,
922.099,
923.052,
965.884,
967.255,
968.983,
1005.218,
1005.576,
1006.41,
1043.182,
1043.48,
1044.314,
1081.86,
1082.099,
1083.052,
1125.884,
1127.255,
1128.983,
1165.218,
1165.576,
1166.41,
1203.182,
1203.48,
1204.314,
1241.86,
1242.099,
1243.052,
1285.884,
1287.255,
1288.983,
1325.218,
1325.576,
1326.41,
1363.182,
1363.48,
1364.314,
1401.86,
1402.099,
1403.052,
1445.884,
1447.255,
1448.983,
1485.218,
1485.576,
1486.41,
1523.182,
1523.48,
1524.314,
1561.86,
1562.099,
1563.052,
1605.884,
1607.255,
1608.983,
1645.218,
1645.576,
1646.41,
1683.182,
1683.48,
1684.314,
1721.86,
1722.099,
1723.052,
1765.884,
1767.255,
1768.983,
1805.46,0
1806.61,0
1813.21,0
1845.748,0
1847.417,0
1882.102,0
1882.818,0
1884.606,0
1891.206,0
1923.403,0
1925.191,0
1931.791,0
1963.403,
1965.191,
1971.791,
2003.182,
2003.48,
2004.314,
2041.86,
2042.099,
2043.052,
2085.884,
2087.255,
2088.983,
2125.218,
2125.576,
2126.41,
2163.182,
2163.48,
2164.314,
2201.86,
2202.099,
2203.052,
2245.884,
2247.255,
2248.983,
2285.218,
2285.576,
2286.41,
2323.182,
2323.48,
2324.314,
2361.86,
2362.099,
2363.052,
2405.884,
2407.255,
2408.983,
2445.218,
2445.576,
2446.41,
2483.182,
2483.48,
2484.314,
2521.86,
2522.099,
2523.052,
2565.884,
2567.255,
2568.983,
2605.218,
2605.576,
2606.41,
2643.182,
2643.48,
2644.314,
2681.86,
2682.099,
2683.052,
2725.884,
2727.255,
2728.983,
2765.218,
2765.576,
2766.41,
2803.182,
2803.48,
2804.314,
2841.86,
2842.099,
2843.052,
2885.884,
2887.255,
2888.983,
2925.218,
2925.576,
2926.41,
2963.182,
2963.48,
2964.314,
3001.86,
3002.099,
3003.052,
3045.884,
3047.255,
3048.983,
3085.218,
3085.576,
3086.41,
3123.182,
3123.48,
3124.314,
3161.86,
3162.099,
3163.052,
3205.884,
3207.255,
3208.983,
3245.218,
3245.576,
3246.41,
3283.182,
3283.48,
3284.314,
3321.86,
3322.099,
3323.052,
3365.884,
3367.255,
3368.983,
3405.218,
3405.576,
3406.41,
3443.182,
3443.48,
3444.314,
3481.86,
3482.099,
3483.052,
3525.884,
3527.255,
3528.983,
3565.218,
3565.576,
3566.41,
3603.182,
3603.48,
3604.314,
3641.86,0
3644.32,-5.429
3648.104,-2.509
3680.837,-0.021
3681.784,-11.923
3692.947,-5.039
3719.247,0.375
3720.193,-16.955
3733.438,-4.853
3757.657,0.771
3759.17,-21.987
3765.793,-11.761
3782.443,-3.418
