time,signal
0,0
0.1,-850.55
13.183,-314.7035
66.67,-5.402418653
66.77,-762.3919187
79.82294118,-282.7301252
133.34,-4.842467018
133.44,-668.271467
144.3531148,-291.5886982
200.01,-4.244644335
200.11,-727.2121443
209.4860563,-356.6225353
266.68,-4.619016464
266.78,-625.5205165
274.9985185,-334.9602033
333.35,-3.973104116
333.45,-582.3471041
340.7653846,-333.99586
400.02,-3.698880557
400.12,-531.0398806
406.7110891,-321.803923
466.69,-3.372993659
466.79,-556.2304937
472.7872973,-352.6280138
533.36,-3.53299629
533.46,-598.9179963
538.9616529,-394.2646964
600.03,-3.804133508
600.13,-531.1451335
605.2116794,-360.9896605
