x,Curve1,Curve2
-250.93,868.8,
-250.22,264.4,
-243.93,627.3,
-231.31,872.7,
-230.84,527.3,
-224.75,749.6,
-213.08,870.1,
-210.75,545.5,
-207.48,761,
-194.01,869.2,
-191.12,659.7,
-185.01,813.6,
-174.3,870.1,
-172.9,675.3,
-165.89,807.8,
-154.21,870.1,
-152.8,602.6,
-142.99,805.2,
-134.21,868.8,
-131.31,755.8,
-126.17,831.2,
-114.02,870.1,
-111.68,772.7,
-106.07,841.6,
-93.93,868.8,
-92.06,588.3,
-85.51,789.6,
-72.9,870.1,
-72.65,541.6,
-66.36,784.4,
-54.21,868.8,
-52.32,550.6,
-45.79,792.2,
-36.45,868.8,
-32.24,564.9,
-22.43,819.5,
-15.89,868.8,
-11.68,702.6,
-6.54,810.4,
6.07,869.7,
7.01,623.4,
14.02,807.8,
23.83,869.4,
25.7,675.3,
32.24,807.8,
43.93,869.4,
45.79,544.2,
52.34,761,
60.75,869.4,
65.42,675.3,
70.09,807.8,
84.11,869.4,
85.05,670.1,
93.46,819.5,
104.04,870,
106.39,838.9,
113.46,848.7,
121.96,869.4,
125.23,590.9,
130.84,785.7,
143.93,869.4,
144.86,640.3,
150.93,801.3,
161.68,870.7,
164.49,681.8,
171.5,807.8,
183.18,869.4,
183.64,597.4,
191.12,805.2,
203.27,870.7,
203.74,689.6,
211.68,818.2,
221.03,871.7,
222.9,463.6,
231.78,775.3,
246.52,856.9,
