x,Curve1
-389.52,656.33
-387.82,365.69
-381.01,567.74
-371.35,620.08
-369.93,273.29
-364.25,470.38
-350.06,631.87
-349.77,412.25
-342.67,590.4
-331.31,638.69
-330.18,474.99
-322.22,607.59
-312.58,637.84
-312.01,479.55
-306.33,605.38
-292.7,657.28
-292.42,413.31
-283.04,573.88
-274.24,637.49
-272.25,285.3
-263.45,520.73
-256.07,583.43
-253.79,304.29
-248.4,528.89
-238.18,608.74
-235.62,450.45
-232.5,526.23
-217.17,642.62
-216.03,345.44
-209.79,515.02
-198.43,598.48
-195.59,287.32
-189.05,497.04
-178.84,598.99
-177.69,387.03
-175.14,451.98
-162.08,596.33
-158.67,154.84
-151.86,401.54
-143.33,551.29
-138.8,252.31
-131.12,512.54
-122.04,569.38
-120.05,289.34
-115.51,485.52
-103.59,538.77
-93.65,376.45
-88.54,494.17
-81.44,551.91
-78.88,418.43
-72.07,508.65
-66.1,599.76
-64.68,205.17
-55.31,446.91
-44.81,589
-42.53,212
-38.35,380.01
-33.61,483.82
-32.5,367.14
-29.34,469.51
-18.52,568.34
-14.47,478.15
-11.08,533.28
-0.04,569.46
1.55,395.51
5.6,485.36
11.45,557.32
13.25,444.94
18.22,565.22
27.23,578.13
30.38,469.33
34.89,600.7
46.61,651.56
51.35,482.99
54.95,564.25
59.92,603.99
