x,Curve1
-453.66,522.19
-453.52,282.71
-442.1,475.18
-429.82,503.94
-428.75,271.09
-420.09,445.87
-405.05,492.32
-404.87,154.4
-391.8,429.83
-381.13,488.45
-379.81,195.32
-368.02,454.16
-355.64,500.07
-352.48,483.47
-348.86,496.75
-329.33,515.78
-325.59,352.78
-314.67,478.5
-306.89,495.09
-306.18,358.48
-300,459.69
-282.02,502.83
-281.57,212.47
-275.87,334.14
-261.5,418.76
-259.56,183.71
-248.42,379.5
-234.2,437.57
-232.57,358.48
-227.18,424.85
-211.21,435.26
-209.8,410.17
-203.15,461.88
-189.26,491.77
-186.28,231.27
-177.28,414.34
-163.8,446.42
-162.86,137.8
-152.12,419.87
-138.76,430.38
-136.25,297.09
-132.25,378.39
-112.86,473.41
-112.65,351.37
-104.97,455.82
-89.15,472.97
-87.32,378.39
-84.15,415.45
-66.83,500.07
-64.67,463.01
-60.67,491.77
-41.99,502.28
-41.39,419.55
-28.2,486.23
-16.2,493.63
-15.49,271.09
-8.49,413.79
7.56,482.92
9.57,419.32
15.51,477.39
32.4,486.97
36.03,318.11
44.22,429.27
53.96,468.78
55.52,450.07
66.03,496.68
80.32,493.67
83.92,466.01
88.5,488.84
104.31,499.29
108.81,358.19
114.28,440.55
130.16,463.27
135.53,373.63
140.3,434.37
146.13,469.09
