x,Curve1
46.73,300
51.76,241.18
56.78,259.8
63.82,285.29
64.32,129.41
70.35,180.39
80.9,249.02
82.41,74.51
87.44,177.45
99.5,258.82
100.8,101.2
108.04,173.53
118.09,246.08
121.61,100
129.15,150.98
139.7,234.31
142.21,103.92
149.24,179.41
162.81,255.88
165.83,186.27
170.85,233.34
178.39,268.63
182.91,232.35
183.92,250
203.52,286.27
205.32,85.71
215.86,219.92
270.35,301.96
275.38,271.57
277.89,283.33
285.43,291.18
287.94,248.04
293.47,269.61
303.01,288.24
306.53,190.2
312.06,242.16
325.63,284.31
328.14,99.02
334.17,185.3
349.75,270.59
355.08,240.2
357.79,258.82
366.84,282.35
369.04,242.93
377.04,275.94
390.42,296.69
395.48,243.14
399.5,265.69
412.06,295.1
416.08,265.69
419.6,283.33
432.16,300.98
436.18,206.86
445.23,248.04
455.28,285.29
461.81,261.77
465.33,279.41
473.37,300.98
480.4,279.41
484.42,293.14
495.98,302.94
501,259.8
507.03,283.33
513.57,303.92
523.12,275.49
526.13,291.18
539.7,302.94
551.25,280.39
555.78,295.1
