x,Stim=high
-3836.98,69.039
-3814.75,14.035
-3775.85,63.161
-3753.62,68.097
-3744.35,16.384
-3703.6,63.983
-3679.51,68.331
-3666.55,31.662
-3631.35,66.215
-3603.56,68.448
-3588.74,-0.072
-3547.98,64.451
-3523.9,68.211
-3518.34,0.514
-3472.03,63.039
-3447.95,67.035
-3442.39,24.254
-3401.63,63.979
-3375.7,67.151
-3364.58,5.918
-3325.68,63.977
-3299.74,68.208
-3286.78,-2.898
-3246.02,62.918
-3223.79,68.089
-3212.67,-20.058
-3171.92,53.75
-3145.98,65.268
-3134.87,-7.249
-3094.11,61.036
-3070.03,66.559
-3060.77,-1.608
-3016.3,62.21
-2992.22,65.735
-2982.96,16.843
-2942.2,63.854
-2916.27,67.145
-2907,37.762
-2875.51,63.853
-2844.02,66.673
-2829.2,-2.905
-2792.15,61.501
-2764.36,65.967
-2753.24,34.234
-2725.46,62.793
-2688.4,66.671
-2677.29,-5.963
-2636.53,61.734
-2612.45,66.552
-2603.19,30.706
-2571.69,64.554
-2538.35,67.256
-2527.23,26.826
-2492.04,63.847
-2458.69,66.55
-2447.57,24.709
-2410.52,65.962
-2382.74,68.077
-2377.18,7.666
-2338.27,64.903
-2306.78,67.253
-2293.81,36.577
-2273.44,63.374
-2230.83,66.664
-2219.71,24.706
-2195.63,60.905
-2153.02,67.486
-2147.46,14.95
-2112.26,64.664
-2080.77,67.602
-2069.66,-7.852
-2027.05,62.665
-2004.82,66.778
-1991.85,23.997
-1956.65,66.072
-1928.86,68.775
-1917.75,17.649
-1888.11,60.782
-1852.91,67.951
-1838.09,37.628
-1806.6,65.365
-1776.95,67.597
-1765.84,19.293
-1730.64,64.071
-1701,67.244
-1693.59,12.24
-1654.69,64.07
-1625.05,67.36
-1610.23,5.187
-1575.03,64.539
-1547.24,67.359
-1536.12,20.464
-1499.07,64.302
-1471.29,67.358
-1458.32,4.714
-1421.27,63.831
-1399.04,67.357
-1384.22,27.279
-1349.02,64.888
-1319.38,67.356
-1310.11,11.176
-1265.65,65.357
-1241.57,68.06
-1234.16,33.036
-1193.4,64.533
-1165.62,67.236
-1154.5,21.164
-1119.3,64.414
-1085.96,67.47
-1082.25,14.816
-1039.64,65.001
-1010,66.998
-998.89,26.098
-963.69,65
-935.9,66.997
-926.64,12.463
-885.88,63.706
-858.09,67.584
-852.54,3.765
-808.08,64.175
-782.14,67.112
-776.58,9.17
-737.68,63.821
-706.19,67.111
-698.78,7.406
-658.02,65.23
-630.23,66.64
-620.97,36.905
-589.48,65.347
-554.28,66.756
-548.72,5.876
-507.96,63.817
-482.03,67.931
-472.77,17.863
-426.45,65.697
-402.37,67.342
-394.96,17.039
-354.2,64.755
-326.42,66.635
-315.3,26.793
-281.95,64.872
-254.17,66.752
-243.05,8.222
-202.29,64.636
-181.92,67.103
