x,Stim=mid
-3833.03,147.055
-3818.45,108.999
-3781.4,141.789
-3753.62,145.902
-3740.65,103.474
-3705.45,142.258
-3679.51,146.136
-3662.84,127.566
-3633.2,144.02
-3599.86,146.84
-3590.59,95.95
-3547.98,142.491
-3523.9,145.664
-3512.79,95.243
-3475.73,142.137
-3449.8,146.25
-3440.54,111.109
-3399.78,143.311
-3373.85,145.544
-3360.88,99.942
-3325.68,142.84
-3299.74,144.72
-3290.48,95.475
-3249.72,141.311
-3225.64,144.484
-3214.53,87.364
-3171.92,140.722
-3145.98,144.835
-3138.57,104.875
-3095.96,141.309
-3070.03,144.599
-3060.77,87.362
-3020.01,141.19
-2994.07,144.833
-2982.96,104.755
-2949.61,141.777
-2918.12,145.184
-2907,115.684
-2875.51,140.248
-2842.17,143.42
-2832.9,97.348
-2792.15,141.069
-2764.36,144.359
-2751.39,121.911
-2721.75,142.713
-2688.4,144.358
-2680.99,89.002
-2640.24,140.126
-2614.3,144.005
-2599.48,124.612
-2575.4,141.653
-2536.5,145.179
-2525.38,114.268
-2492.04,142.24
-2458.69,144.825
-2447.57,119.673
-2419.79,142.004
-2384.59,144.941
-2377.18,101.69
-2334.57,142.002
-2306.78,144.588
-2297.52,121.552
-2264.17,142.471
-2230.83,144.469
-2217.86,120.14
-2195.63,140.825
-2153.02,145.408
-2145.61,108.739
-2114.12,141.176
-2084.48,144.467
-2073.36,76.652
-2034.46,136.591
-2004.82,143.173
-1990,116.728
-1960.36,142.584
-1930.72,144.582
-1914.04,112.378
-1882.55,142.701
-1847.35,145.403
-1839.94,125.306
-1806.6,143.287
-1775.1,145.285
-1769.54,109.203
-1730.64,142.346
-1699.15,145.519
-1693.59,101.445
-1650.98,140.464
-1621.34,144.225
-1612.08,93.922
-1571.32,141.873
-1543.53,144.929
-1536.12,107.672
-1499.07,142.342
-1467.58,144.928
-1462.02,97.445
-1428.68,139.873
-1393.48,145.397
-1387.92,111.195
-1352.72,142.458
-1321.23,145.748
-1308.26,106.023
-1276.77,141.281
-1241.57,145.277
-1232.31,112.486
-1200.81,143.043
-1167.47,145.746
-1156.35,107.783
-1117.45,142.807
-1089.66,145.627
-1082.25,100.495
-1047.05,141.043
-1010,145.038
-1002.59,111.542
-976.66,139.514
-937.75,145.037
-928.49,102.256
-889.59,141.628
-858.09,145.036
-845.13,86.858
-811.78,137.866
-783.99,141.509
-774.73,93.557
-737.68,142.331
-704.33,145.504
-695.07,105.191
-661.72,142.447
-632.08,145.268
-622.82,123.877
-596.89,142.094
-556.13,144.679
-546.87,92.73
-506.11,141.975
-482.03,145.383
-470.91,105.54
-441.27,139.858
-402.37,145.147
-398.66,102.953
-356.06,141.62
-320.86,144.44
-315.3,110.356
-280.1,142.089
-250.46,144.909
-241.2,96.252
-207.85,141.735
-194.88,144.791
