x,Curve1
-139.471,0.998
-139.158,0.6078
-138.413,0.6405
-137.884,0.6663
-137.386,0.1451
-136.505,0.1833
-135.499,0.2272
-133.93,-0.8203
-132.932,-0.7524
-131.84,-0.6318
-130.842,-1.0324
-129.612,-1.0132
-127.682,-0.679
-126.589,-1.0908
-125.094,-0.9694
-123.047,-0.8622
-122.082,-1.5682
-121.166,-1.5308
-120.075,-1.4992
-118.671,-1.5425
-117.343,-1.3982
-115.426,-1.4545
-114.474,-1.5974
-113.462,-1.4905
-112.133,-1.2758
-111.131,-1.3066
-110.184,-1.2008
-109.425,-1.1465
-108.134,-1.202
-106.459,-1.1081
-104.875,-1.0139
-103.833,-1.1606
-102.998,-0.9963
-102.156,-0.8722
-100.857,-0.9634
-99.119,-0.7036
-97.454,-0.5917
-96.359,-1.0446
-95.511,-0.9393
-94.328,-0.7471
-93.338,-0.8026
-92.422,-0.6123
-91.487,-0.5113
-90.145,-0.9919
-89.158,-0.8974
-88.099,-0.7421
-86.881,-1.0365
-85.723,-0.8053
-84.942,-0.6686
-84.005,-0.6823
-83.021,-0.5621
-81.655,-0.5158
-80.256,-0.6857
-79.276,-0.5774
-76.304,-0.5609
-75.181,-0.9526
-74.418,-0.8904
-73.871,-0.8026
-72.976,-1.0372
-72.405,-0.9553
-71.694,-0.8691
-70.54,-1.084
-69.579,-0.9485
-68.277,-0.8427
-67.26,-1.2109
-66.278,-1.0164
-63.683,-0.5483
-62.668,-1.0551
-61.531,-0.9311
-59.257,-0.2329
-58.238,-0.5823
-57.314,-0.3746
-56.479,-0.1629
-55.523,-0.462
-54.803,-0.3148
-54.014,-0.165
-53.171,-0.5681
-52.39,-0.3588
-52.039,-0.234
-51.515,-0.2963
-50.839,-0.1068
-48.213,-0.0652
-46.125,-0.6696
-40.705,-0.1814
-30.817,0.307
