x,black
-727.05,60.194
-716.56,34.174
-702.71,46.408
-680.21,57.281
-666.59,-54.951
-649.99,30
-626.39,54.078
-607.2,-14.078
-595.92,30.582
-574.29,52.816
-565.37,-54.759
-541.02,30.971
-525.4,49.806
-517.43,-4.563
-497.07,28.738
-473.9,53.301
-464.42,2.039
-436.45,29.515
-422.62,52.039
-412.55,-13.787
-399.48,27.476
-371.29,49.611
-363.71,-25.437
-351.54,17.67
-321.88,46.636
-311.82,-35.197
-298.6,20.337
-272.05,52.875
-262.53,-30.964
-240.82,26.522
-224.23,50.41
-211.48,-22.642
-194.92,33.611
-134.09,57.499
