x,a
80.35,-55.6694
98.95,-56.5963
115.46,-56.4547
128.97,-56.326
142.39,-56.7766
175.44,-56.2745
203.93,-56.12
221.16,-56.1715
249.67,-55.9398
439.28,-55.811
457.11,-56.8795
498.41,-56.3131
539.66,-56.0041
554.58,-56.5191
605.61,-56.0041
888.13,-55.9269
905.26,-56.6607
941.27,-56.3775
985.52,-56.1329
998.89,-56.931
1059.7,-56.1586
30061.38,-55.6694
30077.25,-56.9345
30094.27,-56.7723
30103.74,-56.5615
30115.02,-56.8696
30129.21,-56.6912
30141.51,-56.529
30153.7,-57.0643
30166.95,-56.8372
30180.2,-56.675
30193.4,-56.7885
30211.36,-56.5939
30223.67,-56.3668
30234.06,-56.3668
30247.31,-56.156
30269.05,-55.9451
30288.85,-56.1235
30302.1,-55.9451
30310.61,-55.8478
30320.03,-56.01
30337.05,-55.7991
30350.28,-55.7018
30370.01,-56.4155
30379.48,-56.1884
30389.88,-56.0586
30406.84,-56.3344
30421.02,-56.2046
30433.31,-56.1235
30442.73,-56.2533
30460.7,-56.0262
30477.72,-55.8802
30489.01,-56.1235
30504.14,-55.9451
30521.17,-55.6856
30534.39,-55.718
30552.34,-55.6369
30592.94,-55.5883
30611.75,-56.0911
30629.71,-55.9451
30648.6,-55.8802
30673.12,-56.0749
30689.18,-56.01
30698.63,-55.9451
30708.07,-55.9613
30721.31,-55.8316
30739.26,-55.718
30754.31,-56.1397
30773.22,-55.9289
30793.06,-55.8802
30808.06,-56.5939
30827.92,-56.3506
30844.02,-56.0424
30861.91,-56.383
30881.77,-56.1235
30896.9,-55.9451
30919.54,-56.0911
30936.55,-55.9613
30947.89,-55.8964
30963.88,-56.3182
30979.02,-56.1073
31005.48,-55.9451
31018.65,-56.2371
31038.52,-55.9613
31058.36,-55.864
31075.33,-56.0262
31104.64,-55.7829
31132.05,-55.5721
