x,E
241.61,4.8008
244.45,4.495
245.62,4.5035
247.09,4.5114
248.01,4.2813
249.02,4.2548
250.6,4.2401
253.27,4.0581
254.86,4.0668
256.77,4.0813
258.71,4.0093
260.22,4.0135
261.48,4.0178
262.8,3.9503
264.62,3.9545
266.06,3.9954
267.64,3.9762
269.14,3.9805
270.43,4.0185
272.51,3.9186
274.19,3.9478
277.24,4.0252
279.09,3.9327
280.45,3.9619
281.34,3.994
282.03,3.9617
283.41,4.0202
285.18,4.0728
286.75,4.0536
288.42,4.0783
290.27,4.1309
291.75,4.0795
293.98,4.1086
294.87,4.1422
296.64,4.0356
299.02,4.0685
300.35,4.1812
301.92,4.1576
303.06,4.2264
304.42,4.2658
305.98,4.2056
307.5,4.2494
309.18,4.28
310.64,4.1949
312.55,4.2138
313.62,4.2869
314.93,4.2355
316.78,4.2837
318.31,4.3378
320.1,4.2819
321.92,4.2862
323.37,4.3285
324.5,4.2098
327.35,4.2095
329.19,4.2547
331.32,4.2487
332.46,4.3028
333.59,4.3466
335.12,4.2454
337.34,4.2496
339.4,4.267
341.1,4.1789
352.07,4.424
371.03,4.6845
