x,a&b&c
-106.029,3.22315
-104.007,4.307
-100.429,3.95211
-96.043,3.60682
-94.37,4.10558
-89.045,3.47253
-74.935,3.07448
-72.772,3.74589
-69.397,3.38621
-20.478,3.1656
-18.427,3.94732
-13.124,3.54927
29893.971,3.22315
29895.993,4.307
29899.621,3.95211
29903.957,3.60921
29905.63,4.10558
29911.006,3.47253
29931.493,3.08168
29933.49,3.90415
29940.812,3.3123
29979.48,3.16465
29981.574,3.94713
29986.874,3.54683
59893.952,3.22356
59895.985,4.30816
59899.59,3.95317
59903.96,3.60876
59905.634,4.10574
59911.02,3.47281
59936.599,3.08761
59938.742,4.0136
59943.479,3.50453
59979.512,3.16465
59981.606,3.94713
59986.874,3.54683
59997.213,3.13293
