time,signal
0,0
7,-0.92
27.5,-0.46
50,-0.214960694
57,-0.656560694
78.5,-0.31736607
60000,0
60007,-0.92
60009.85714,-0.835280663
60010,-0.83125574
60017,-0.91405574
60018.46341,-0.869928039
120000,0
120007,-0.92
120014.619,-0.711060838
120015,-0.701960552
120022,-0.812360552
120025.9024,-0.711940812
180000,0
180007,-0.92
180024.1429,-0.515294405
180025,-0.500574597
180032,-0.684574597
180040.7805,-0.508726864
240000,0
240007,-0.92
240027.5,-0.46
240030,-0.422714219
240037,-0.606714219
240048.5,-0.411257364
300000,0
300007,-0.92
300027.5,-0.46
300035,-0.3569644
300042,-0.5869644
300056,-0.365620301
360000,0
360007,-0.92
360027.5,-0.46
360040,-0.30144144
360047,-0.62344144
360063.5,-0.356864404
420000,0
420007,-0.92
420027.5,-0.46
420050,-0.214960694
420057,-0.647360694
420078.5,-0.312919005
480000,0
480007,-0.92
480027.5,-0.46
480065,-0.129447362
480072,-0.773447362
480101,-0.290123863
540000,0
540007,-0.92
540027.5,-0.46
540075,-0.092310118
540082,-0.966310118
540111.5652,-0.355606216
