x,C
122.823,1.549
126.733,1.1326
128.202,1.0787
130.493,1.0026
133.19,0.8305
135.1,0.8182
137.679,0.8051
141.284,0.7111
143.001,0.7179
145.463,0.7098
147.988,0.4889
150.22,0.4383
152.667,0.4248
156.268,0.4143
157.535,0.469
159.163,0.5204
162.311,0.4254
165.244,0.3686
167.688,0.3544
170.141,0.3986
172.811,0.4249
174.842,0.47
177.315,0.554
179.348,0.5896
181.401,0.6167
183.044,0.5394
185.516,0.636
188.01,0.6769
190.232,0.5668
192.768,0.6506
195.542,0.715
198.936,0.7001
200.014,0.7388
201.588,0.779
205.416,0.8009
208.463,0.8753
210.472,0.9283
216.019,1.0339
217.543,1.0662
218.951,1.1138
224.863,1.0457
226.45,1.0749
228.248,1.1444
232.235,1.1371
234.014,1.1696
236.483,1.2066
239.612,1.1806
240.881,1.2129
242.189,1.2305
245.146,1.2012
247.816,1.221
249.805,1.2385
253.606,1.2289
255.449,1.2486
257.796,1.2644
261.907,1.2799
264.468,1.3208
267.83,1.37
