time,signal
0.0,0.0
6.15,-85.3
66.45,-31.561
75.0,-27.41104714314259
81.15,-52.14804714314259
115.575,-29.561491835360776
150.0,-16.75770901129547
156.15,-28.72492295057097
179.1,-19.675135753988627
225.0,-9.230717669182173
231.15,-13.713163675801326
248.3625,-10.324803820917978
300.0,-4.406707807725916
306.15,-6.085655163744553
319.91999999999996,-4.849563597018198
375.0,-1.9556175919145495
381.15,-2.584485004956314
392.625,-2.1389638725209066
450.0,-0.8305209884126921
456.15,-1.066069900514169
465.98571428571427,-0.9064706912205723
525.0,-0.3425802145472358
531.15,-0.4308075401194459
539.75625,-0.3738138345798359
600.0,-0.13843945828646453
606.15,-0.1714859321936389
613.8,-0.15116391120912978
675.0,-0.055106787476501634
681.15,-0.0674846922879055
688.035,-0.060242492394392805
624675.0,-0.0
624681.15,-53.74357982478022
624688.035,-47.97602373333357
