x,PV+ BC
-2443.42,507.39
-2439.68,436.3
-2436.22,488.21
-2429.21,495.52
-2425.24,343.45
-2420.11,430.61
-2415.84,464.9
-2413.85,366.96
-2410.96,435.22
-2407.59,461.42
-2404.02,376.82
-2400.73,416.03
-2397.07,433.65
-2393.43,375.88
-2390.88,423.34
-2388.24,452.87
-2380.95,414.15
-2378.49,436.06
-2375.31,455.75
-2366.95,395.91
-2366.38,418.45
-2364.33,430.36
-2358.93,392.11
-2357.91,418.47
-2354.74,440.06
-2350.82,414.03
-2350.21,428.38
-2349.08,436.78
-2345.17,428.38
-2344.62,435.18
-2343.82,449.59
-2342.01,398.01
-2339.98,411.66
-2337.69,422.78
-2335.46,363.57
-2333.71,386.59
-2333.53,396.75
-2330.69,313.57
-2328.46,375.33
-2325.55,399.14
-2321.56,321.84
-2316.62,362.17
-2313.83,368.84
-2311.59,348.2
-2310.39,383.29
-2307.5,412.66
-2305.21,344.08
-2303.74,413.61
-2300.04,424.89
-2295.28,376.16
-2292.6,399.18
-2288.01,419.19
-2281.25,350.46
-2280.53,387.77
-2279.14,391.9
-2275.38,353.49
-2274.56,414.13
-2273,428.73
-2270.56,374.45
-2268.5,424.61
-2264.82,438.11
-2259.94,408.59
-2255.81,427.8
-2252.87,447.97
-2249.64,378.28
-2244.81,436.87
-2244.69,457.5
-2239.42,441.48
-2239.23,449.73
-2235.77,461.8
-2230.63,387.36
-2227.06,421.17
-2216.34,438.17
-2209.17,340.72
-2204.42,412.95
-2202.01,443.11
-2197.6,374.86
-2194.65,393.59
-2192.15,408.2
-2188.16,370.9
-2187.2,406.62
-2185.4,420.91
-2181.82,372.5
-2181.78,444.73
-2171.76,462.83
-2168.7,422.52
-2164.65,453.48
-2160.31,475.55
-2159.96,417.77
-2156.83,445.55
-2154.79,458.25
-2150.62,430.64
-2150,444.29
-2145.38,458.74
-2141,395.57
-2133.47,434.31
-2132.18,456.22
-2129,434.79
-2126.27,451.94
-2121.91,470.36
-2118.54,378.45
-2115.73,420.36
-2115.61,438.94
-2112.02,389.41
-2109.68,472.44
-2108.62,451.8
-2103.09,432.6
-2101.16,463.24
-2099.14,479.6
-2095.52,465.16
-2094.18,478.01
-2089.31,489.93
-2079.82,397.08
-2079.29,427.71
-2077.71,439.14
-2073.85,421.85
-2072.1,445.82
-2064.96,470.91
-2060.26,432.5
-2059.03,463.93
-2053.71,479.81
-2048.19,461.56
-2047.32,473
-2045.47,478.71
-2041.14,463.32
-2038.37,472.21
-2036.03,475.39
-2034.49,413.33
-2031.2,453.97
-2028.02,472.86
-2021.35,459.38
-2020.22,468.27
-2019.58,479.54
-2012.66,463.36
-2012.5,475.74
-2008.1,488.13
-2006.36,431.93
-2000.93,469.4
-1997.7,480.04
-1994.1,467.83
-1992.98,477.51
-1989.52,489.74
-1983.66,414.82
-1982.62,438.47
-1976.6,455.15
-1973.25,446.1
-1972.88,461.5
-1966.91,487.7
-1962.52,461.04
-1961.19,475.33
-1957.48,485.49
-1951.1,441.05
-1947.47,463.76
-1943.12,483.76
-1940.33,450.43
-1936.92,471.23
-1932.55,487.91
-1928.2,389.33
-1926.47,415.85
-1926,454.58
-1921.83,426.01
-1921,445.7
-1920.85,460.3
-1914.15,440.94
-1910.34,473.01
-1903.42,497.79
-1900.23,436.2
-1892.42,468.43
-1887.35,485.74
-1883.65,457.81
-1881.83,468.76
-1879.76,476.7
-1874.94,457.03
-1873,487.35
-1865.34,505.77
-1861.78,461.01
-1857.69,484.67
-1854.72,499.91
-1850.94,458.33
-1847.83,489.28
-1842.74,504.69
-1840.75,446.91
-1837.97,493.58
-1832.63,505.97
-1831.56,483.91
-1829.49,492.17
-1827.64,497.72
-1827.27,475.98
-1825.21,485.66
-1822.9,492.49
-1818.01,461.54
-1814.32,475.04
-1811.08,484.41
-1806.72,463.3
-1802.82,479.82
-1796.58,500.14
-1794.73,464.91
-1792.89,472.69
-1791.04,477.93
-1788.07,452.69
-1783.29,480.95
-1773.3,502.24
-1768.36,463.35
-1765.91,487.33
-1757.55,506.23
-1753.44,447.82
-1751.42,464.49
-1750.07,474.65
-1745.05,461.8
-1744.93,481.96
-1742.43,496.25
-1736.44,478.16
-1734.37,486.73
-1730.88,494.2
-1727.68,470.39
-1723.51,481.83
-1713.45,491.68
-1710.93,423.11
-1703.05,483.28
-1689.07,507.27
-1687.2,469.65
-1685.64,484.73
-1682.16,493.15
-1676.09,461.88
-1674.07,479.35
-1670.64,495.23
-1669.54,430.15
-1666.1,484.28
-1659.62,502.54
-1651.35,458.27
-1649.87,486.05
-1643.13,500.52
-1636.41,477.65
-1632.67,483.53
-1628.71,489.25
-1624.8,467.79
-1613.91,488.92
-1605.5,505.31
-1601.73,465.31
-1599.76,489.29
-1597.23,498.97
-1594.03,476.12
-1587.11,498.83
-1581.77,512.8
-1578.61,495.66
-1576.31,504.71
-1566.69,509.01
-1563.2,436.31
-1555.7,480.77
-1551.56,497.76
-1545.35,482.37
-1542.58,491.11
-1535.58,501.43
-1532.47,453.18
-1530.21,469.85
-1527.03,488.27
-1522.34,451.92
-1519.47,484.15
-1508.02,497.98
-1506.56,449.56
-1504.45,492.11
-1494.4,502.6
-1491.31,458.79
-1487.72,487.37
-1486.85,499.91
-1481.03,471.98
-1480.45,493.09
-1475.57,502.78
-1472.6,479.29
-1471.03,491.67
-1468.23,496.44
-1460.77,467.72
-1460.44,491.85
-1454.18,507.89
-1451.14,471.86
-1449.63,494.08
-1444.54,510.28
-1444.31,430.28
-1437.09,483.94
-1434.36,500.13
-1426.25,481.89
-1424.44,493.48
-1420.54,510.95
-1408.75,466.51
-1405.8,484.93
-1401.18,500.34
-1398.8,455.57
-1397.24,471.13
-1395.18,480.66
-1392.02,464
-1383.74,496.87
-1367.83,511.81
