x,Curve1,,,
0,0,,0,0
3.58,144.834,,3.58,144.834
24.38,28.189,,24.38,28.189
98.94,2.699,,98.94,2.699
101.15,82.875,,101.15,82.875
120.02,20.827,,120.02,20.827
195.98,1.086,,195.98,1.086
200.84,53.966,,200.84,53.966
213.23,16.623,,213.23,16.623
294.94,1.199,,294.94,1.199
298.19,72.18,,298.19,72.18
316.07,13.867,,316.07,13.867
393.41,2.46,,393.41,2.46
397.62,73.443,,397.62,73.443
417.93,13.408,,417.93,13.408
500,,,500,
503,,,503,
525,,,525,
600,,,600,
603,,,603,
625,,,625,
700,,,700,
703,,,703,
725,,,725,
800,,,800,
803,,,803,
825,,,825,
900,,,900,
903,,,903,
925,,,925,
1000,,,1000,
1003,,,1003,
1025,,,1025,
1100,,,1100,
1103,,,1103,
1125,,,1125,
1200,,,1200,
1203,,,1203,
1225,,,1225,
1300,,,1300,
1303,,,1303,
1325,,,1325,
1400,,,1400,
1403,,,1403,
1425,,,1425,
1500,0,,1500,0
1503.44,49.143,,1503.44,49.143
1519.71,10.08,,1519.71,10.08
1599.92,0.689,,1599.92,0.689
1601.45,47.531,,1601.45,47.531
1617.7,10.767,,1617.7,10.767
1696.95,0.225,,1696.95,0.225
1699.24,70.918,,1699.24,70.918
1723.44,8.014,,1723.44,8.014
1795.43,0.625,,1795.43,0.625
1797.87,53.214,,1797.87,53.214
1818.54,6.973,,1818.54,6.973
1891.96,2.459,,1891.96,2.459
1894.98,43.842,,1894.98,43.842
1911.22,8.228,,1911.22,8.228
1965.33,2.543,,1965.33,2.543
