x,40 HZ-ZD7288
0,0
12.09,5.8669
23.09,5.7597
27.43,5.4428
38.21,12.6278
46.09,12.3119
53.2,11.8855
63.28,19.7207
70.5,19.2409
76.27,18.7012
86.41,24.9129
94.21,23.4948
104.35,21.7168
110.8,27.1131
221.49,9.6451
60000,0
60014.87,4.5447
60035.05,4.0239
60051.92,3.5072
60065.84,6.9815
60087.35,6.0718
60104.54,5.3598
60116.67,10.5983
60134.42,9.5317
60156.1,8.0333
60166.71,12.6969
60185.17,11.2238
60206.56,9.3889
60217.33,14.9407
60308.52,6.6668
120000,0
120016.68,4.15
120066.72,2.7587
120101.45,1.979
120116.86,7.7066
120153,5.9373
120204.7,3.8083
120220.49,9.8956
120259.5,7.3767
120307.92,4.9177
120321.56,11.6048
120358.75,8.6961
120410.77,5.6075
120425.1,11.5748
120454.46,9.1063
120494.79,6.3572
