x,40Hz
0,0
11.18,1.9504
18.93,1.8699
25.24,1.7412
34.3,4.4347
40.78,4.3016
47.69,4.1476
59.32,7.023
65.46,6.8047
73.2,6.5975
82.39,9.2441
88.8,8.8197
97.38,8.2902
106.18,10.8057
172.99,3.7738
60000,0
60011.65,1.9549
60028.75,1.6715
60045.84,1.2828
60061.84,3.6076
60079.05,3.0678
60095.39,2.4254
60111.38,5.1642
60129.34,4.2519
60145.08,3.3518
60159.86,5.6738
60172.43,4.9618
60196.09,3.4278
60208.51,6.3184
60269.37,2.3452
120000,0
120012.92,1.5764
120054.23,0.9923
120092.67,0.5054
120110.18,3.055
120149.57,1.8395
120192.62,0.806
120207.85,4.1494
120246.53,2.505
120289.97,1.0766
120307.33,3.704
120343.82,2.1933
120389.27,0.8176
120406.21,3.2298
120470.42,1.1363
120521.17,0.1975
