time,signal
0,0
1.844,-16.29
6.040190476,-10.36963518
6.25,-10.13807728
8.094,-23.18636728
10.24326829,-18.39762412
12.5,-14.43002966
14.344,-31.79516966
15.78859016,-27.21645012
18.75,-19.7877156
20.594,-32.0377956
21.68190123,-28.49751234
25,
26.844,
27.71647525,
31.25,
33.094,
33.82226446,
37.5,
39.344,
39.96896454,
43.75,
45.594,
46.14132919,
50,
51.844,
52.33085083,
56.25,
58.094,-58.32
58.53240796,
62.5,
64.344,
68.54019048,
68.75,
70.594,-56.04
72.74326829,
75,
76.844,
78.28859016,
81.25,
83.094,
84.18190123,
87.5,
89.344,
90.21647525,
93.75,
95.594,
96.32226446,
100,
101.844,
102.4689645,
106.25,
108.094,
108.6413292,
112.5,
114.344,
114.8308508,
118.75,
120.594,-39.25
121.032408,
