time,signal
0.0,0.0
1.246,-45.29
6.011714286,-27.43689503
6.25,-26.75787334
7.496,-92.47366334
9.93697561,-71.53686486
12.5,-54.63454563
13.745999999999999,-121.39200559999999
15.38665574,-102.1540107
18.75,-71.7198479
19.996,-122.9428379
21.23155556,-107.9620085
68.75,0.0
69.99600000000001,-34.8592601
71.23155556,
60000.0,0.0
60001.246,-45.29
60006.011714286,-27.43689503
60006.25,-26.75787334
60007.496,-92.47366334
60009.93697561,-71.53686486
60012.5,-54.63454563
60013.746,-121.39200559999999
60015.38665574,-102.1540107
60018.75,-71.7198479
60019.996,-122.9428379
60021.23155556,-107.9620085
60118.75,0.0
60119.996,-38.1151582
60121.2315556,
120000.0,0.0
120001.246,-45.29
120006.011714286,-27.43689503
120006.25,-26.75787334
120007.496,-92.47366334
120009.93697561,-71.53686486
120012.5,-54.63454563
120013.746,-121.39200559999999
120015.38665574,-102.1540107
120018.75,-71.7198479
120019.996,-122.9428379
120021.23155556,-107.9620085
120218.75,0.0
120219.996,-36.9362595
120221.2315556,
180000.0,0.0
180001.246,-45.29
180006.011714286,-27.43689503
180006.25,-26.75787334
180007.496,-92.47366334
180009.93697561,-71.53686486
180012.5,-54.63454563
180013.746,-121.39200559999999
180015.38665574,-102.1540107
180018.75,-71.7198479
180019.996,-122.9428379
180021.23155556,-107.9620085
180318.75,0.0
180319.996,-43.692621700000004
180321.2315556,
240000.0,0.0
240001.246,-45.29
240006.011714286,-27.43689503
240006.25,-26.75787334
240007.496,-92.47366334
240009.93697561,-71.53686486
240012.5,-54.63454563
240013.746,-121.39200559999999
240015.38665574,-102.1540107
240018.75,-71.7198479
240019.996,-122.9428379
240021.23155556,-107.9620085
240518.75,0.0
240519.996,-48.334393799999994
240521.2315556,
300000.0,0.0
300001.246,-45.29
300006.011714286,-27.43689503
300006.25,-26.75787334
300007.496,-92.47366334
300009.93697561,-71.53686486
300012.5,-54.63454563
300013.746,-121.39200559999999
300015.38665574,-102.1540107
300018.75,-71.7198479
300019.996,-122.9428379
300021.23155556,-107.9620085
300818.75,0.0
300819.996,-40.1581901
300821.2315556,
360000.0,0.0
360001.246,-45.29
360006.011714286,-27.43689503
360006.25,-26.75787334
360007.496,-92.47366334
360009.93697561,-71.53686486
360012.5,-54.63454563
360013.746,-121.39200559999999
360015.38665574,-102.1540107
360018.75,-71.7198479
360019.996,-122.9428379
360021.23155556,-107.9620085
361218.75,0.0
361219.996,-37.0703179
361221.231556,
