x,Curve1
-384.041,182.35
-382.803,-32.25
-380.195,54.73
-377.399,85.87
-376.353,-59.34
-374.074,24.6
-370.788,68.93
-369.746,-64.77
-366.483,38.12
-364.511,63.17
-363.151,-39.73
-360.212,47.25
-357.416,75
-356.215,-41.78
-352.62,57.06
-350.479,71.94
-349.786,-15.05
-347.663,48.25
-344.209,83.78
-343.017,-11
-340.072,61.1
-337.274,84.78
-335.935,36.38
-333.803,73.95
-330.676,101.7
-329.989,33.32
-327.691,68.86
-324.234,96.95
-323.21,9.95
-319.93,68.51
-317.297,91.18
-316.454,46.84
-314.157,83.73
-310.696,100.65
-309.848,43.44
-306.563,89.47
-304.093,105.37
-302.911,37.67
-300.12,79.64
-297.32,98.25
-296.475,48.83
-294.012,84.37
-290.55,98.92
-289.867,38.33
-287.404,76.23
-284.108,93.49
-282.763,30.53
-280.305,79.61
-277.34,97.54
-276.161,37.29
-274.194,74.86
-270.734,93.81
-269.069,57.59
-267.755,77.89
-264.463,104.96
-262.799,71.45
-260.499,101.23
-257.696,112.74
-255.859,57.22
-252.897,84.97
-250.591,98.51
-249.909,43.67
-246.622,83.95
-244.314,92.74
-242.814,56.52
-240.346,79.87
-237.049,94.42
-236.542,64.97
-234.403,84.94
-230.613,104.57
-229.936,62.26
-226.813,99.14
-223.846,111.32
-222.673,68.34
-220.534,87.63
-217.565,96.42
-216.721,48.35
-213.925,77.12
-210.631,98.44
-209.792,62.9
-206.502,97.08
-204.028,103.84
-202.858,67.28
-200.226,92.33
-196.763,104.85
-196.583,65.92
-193.126,94.01
-190.488,104.5
-189.977,61.85
-188.659,69.97
-187.34,74.37
-186.382,46.39
-185.141,57.54
-183.834,65.6
-183.173,52.7
-182.259,61.43
-181.149,69.49
-180.155,42.89
-178.912,48.13
-177.472,50.54
-176.808,29.58
-166.614,102.37
