x,Curve1
-1204.77,90.383
-1202.95,29.324
-1181.78,84.045
-1106.68,90.518
-1101.13,39.827
-1083.7,85.044
-1003.49,90.509
-1000.17,2.664
-976.69,85.61
-901.58,90.643
-899.81,35.2
-872.26,88.192
-799.66,90.633
-796.59,31.014
-775.43,87.751
-699.02,90.624
-695.65,-2.837
-660.77,86.156
-595.84,90.614
-594.15,43.524
-570.31,85.86
-499.02,90.605
-493.23,12.841
-467.14,87.578
-394.56,90.884
-390.13,22.192
-360.14,88.288
-296.47,91.018
-289.52,25.207
-267.14,87.704
703.53,91.261
710.51,22.857
731.61,85.066
