time,signal
0.0,0.0
1.8199999999999363,-61.059
22.99000000000001,-6.337999999999994
98.08999999999992,0.1349999999999909
103.63999999999987,-50.556
121.06999999999994,-5.338999999999999
201.27999999999997,0.12600000000000477
204.60000000000002,-87.719
228.07999999999993,-4.772999999999996
303.18999999999994,0.2599999999999909
304.96000000000004,-55.18299999999999
332.51,-2.1909999999999883
405.11,0.25
408.17999999999995,-59.369
429.34000000000003,-2.631999999999991
505.75,0.24099999999999966
509.12,-93.22
544.0,-4.22699999999999
608.93,0.23099999999999454
610.62,-46.859
634.46,-4.522999999999996
705.75,0.2220000000000084
711.54,-77.542
737.63,-2.805000000000007
810.21,0.5010000000000048
814.64,-68.191
844.63,-2.094999999999999
908.3,0.6349999999999909
915.25,-65.176
937.63,-2.679000000000002
1908.3,0.8780000000000143
1915.28,-67.526
1936.38,-5.316999999999993
60000.0,0.0
60000.62,-71.32100000000001
60014.1,-12.792000000000002
60025.25,-5.550000000000011
60026.31,-86.10600000000001
60038.93,-15.78500000000001
60049.65,-5.8430000000000035
60051.03,-53.438
60062.5,-13.662000000000006
60074.88,-5.14200000000001
60075.91,-76.037
60088.15,-15.519000000000005
60099.29,-6.146000000000015
60100.72,-73.915
60113.79,-14.24900000000001
60124.52,-6.296999999999997
60125.96,-74.635
60138.2,-16.105000000000004
60148.51,-7.301000000000016
60149.96,-76.917
60161.37,-17.961000000000013
60173.33,-6.173000000000002
60174.36,-77.49400000000001
60185.78,-19.24900000000001
60198.16,-10.16000000000001
60199.24,-99.667
60213.08,-19.543000000000006
60222.56,-10.027000000000001
60222.79,-90.299
60243.24,-9.466999999999999
61222.56,-0.47100000000000364
61224.79,-57.01700000000001
61237.89,-8.859000000000009
120000.0,0.0
120000.867,-87.36999999999999
120002.98,-65.07999999999998
120005.916,-51.22
120007.11,-138.58999999999997
120009.865,-93.71
120012.146,-78.94999999999999
120013.024,-185.89999999999998
120015.45,-138.91
120018.215,-113.3
120019.239,-187.42
120021.504,-145.85
120024.272,-124.46
120025.463,-205.2
120027.887,-155.5
120030.33,-136.82
120031.194,-219.07
120033.781,-167.85999999999999
120036.06,-148.57999999999998
120037.245,-220.59
120039.838,-179.62
120042.445,-162.45
120043.465,-230.84
120046.055,-183.84
120048.172,-168.78
120049.51,-220.60999999999999
120052.269,-184.45999999999998
120054.549,-168.49
120056.055,-228.45
120076.559,-52.23999999999998
121054.549,-2.7099999999999795
121055.761,-122.61999999999999
121069.768,-23.819999999999993
180000.0,0.0
180001.072,-70.94999999999999
180003.126,-53.94999999999999
180006.472,-41.01999999999998
180007.534,-93.86999999999999
180010.616,-68.36999999999999
180012.93,-55.06999999999999
180014.261,-127.86999999999999
180016.822,-94.98999999999998
180019.65,-77.61999999999999
180020.715,-136.75
180023.279,-107.92999999999998
180026.36,-81.69999999999999
180027.689,-151.54
180030.503,-108.67999999999998
180032.816,-92.41999999999999
180034.137,-147.48
180036.954,-111.26999999999998
180039.266,-93.91
180040.331,-152.66
180043.666,-119.03999999999999
180045.98,-104.63
180047.301,-160.06
180050.121,-128.29
180052.692,-112.39999999999999
180054.01,-161.54999999999998
180056.574,-134.95
180059.402,-117.57999999999998
180060.718,-162.29999999999998
180063.541,-136.06
180065.597,-122.01999999999998
180066.907,-158.98
180069.99,-135.7
180072.562,-120.91999999999999
180074.12,-139.39999999999998
180076.432,-122.41
180079.005,-109.47
180080.05,-133.86999999999998
180083.396,-118.71999999999998
180085.455,-110.95999999999998
180087.792,-137.94
180090.108,-126.85999999999999
180091.908,-116.50999999999999
180093.205,-128.33999999999997
180095.261,-114.66999999999999
180097.835,-104.32
180099.132,-117.25999999999999
180101.448,-107.64999999999999
180104.024,-100.63999999999999
180106.61,-110.24999999999999
180109.704,-107.28999999999999
180110.474,-101.38
180113.578,-116.16999999999999
180115.892,-101.01999999999998
180118.467,-93.25999999999999
180120.28,-104.72
180122.079,-94.00999999999999
180124.14,-87.72999999999999
180125.949,-93.26999999999998
180128.266,-84.03999999999999
180130.843,-79.24
180132.655,-89.94999999999999
180134.716,-85.88999999999999
180136.778,-82.19999999999999
180139.881,-94.76999999999998
180141.685,-91.07
180143.488,-86.26999999999998
180147.88,-97.72999999999999
180149.942,-94.77999999999999
180150.715,-93.29999999999998
180152.008,-98.47999999999999
180154.585,-93.30999999999999
180157.163,-88.88
180159.231,-97.00999999999999
180160.517,-90.35999999999999
180163.611,-86.66999999999999
180165.941,-100.70999999999998
180167.486,-96.64999999999999
180170.579,-90.36999999999999
180171.873,-98.13
180174.191,-91.47999999999999
180177.542,-85.94
180178.841,-102.94
180181.936,-100.35999999999999
180183.482,-98.14999999999999
180186.837,-99.25999999999999
180187.759,-93.78999999999999
180190.119,-88.44
180190.839,-93.72
180191.708,-92.10999999999999
180193.294,-90.72
180194.169,-99.07999999999998
180196.368,-95.04999999999998
180198.21,-92.99999999999999
180198.621,-95.99999999999999
180200.155,-93.35999999999999
180201.28,-91.67999999999998
180203.333,-101.35999999999999
180283.031,-38.39999999999999
