time,signal
0.0,0.0
0.18000000000006366,-72.535
28.420000000000073,-3.031000000000006
98.33000000000015,0.15100000000001046
98.56000000000017,-71.108
136.24,-3.5189999999999912
199.82000000000005,-0.016999999999995907
200.83000000000004,-52.305
226.60000000000014,-4.3230000000000075
294.96000000000004,-0.1839999999999975
302.2900000000001,-53.27
326.5300000000001,-3.6939999999999884
399.6300000000001,-0.19200000000000728
400.46000000000004,-56.945
426.4000000000001,-4.658000000000001
497.97000000000014,0.117999999999995
500.21000000000004,-60.939
540.7200000000001,-1.3199999999999932
602.6100000000001,-0.36899999999998556
603.3600000000001,-59.193
623.0200000000001,-5.472000000000008
696.19,-0.05700000000000216
702.4000000000001,-80.404
727.6800000000001,-5.640000000000001
797.6300000000001,-1.5010000000000048
803.1100000000001,-60.804
832.5100000000001,-1.663000000000011
896.0100000000001,-0.2330000000000041
899.4300000000001,-71.015
927.46,-6.6129999999999995
1896.0100000000002,-0.7530000000000001
1899.98,-96.722
1932.3000000000002,-5.218999999999994
60000.0,0.0
60001.83,-189.47
60014.57,-44.91
60024.38,-21.019999999999982
60027.14,-140.48
60035.82,-47.81
60045.63,-24.75
60052.04,-159.45
60063.27,-39.59
60075.16,-19.419999999999987
60075.82,-123.21999999999998
60088.64,-31.789999999999992
60098.99,-16.97
60101.21,-125.71
60113.53,-40.870000000000005
60124.38,-22.75999999999999
60125.56,-125.72999999999999
60137.87,-35.120000000000005
60147.69,-17.829999999999984
60149.92,-131.93
60161.72,-47.91
60171.54,-29.389999999999986
60174.78,-120.00999999999999
60185.55,-46.28999999999999
60195.89,-27.75999999999999
60200.12,-91.60999999999999
60211.45,-45.06999999999999
60220.75,-22.840000000000003
60224.0,-125.41
60242.0,-31.919999999999987
61220.75,-4.1200000000000045
61223.66,-227.79
61242.55,-26.389999999999986
120000.0,0.0
120001.769,-287.05
120004.238,-232.17000000000002
120006.712,-190.54
120007.596,-334.37
120010.271,-275.71
120012.952,-233.45
120014.035,-355.21
120016.293,-292.13
120018.973,-246.72
120020.451,-313.59
120022.921,-263.76
120024.988,-241.68
120026.87,-282.06
120028.312,-255.57
120030.787,-217.73
120032.669,-256.21
120034.108,-220.89
120036.794,-191.25
120039.091,-231.0
120039.91,-203.87
120043.015,-183.69
120045.508,-194.42
120047.159,-171.72
120049.02,-154.69
120051.513,-164.16
120052.753,-151.54
120055.03,-138.29999999999998
120058.355,-153.45
120112.659,-21.74000000000001
121055.03,-16.279999999999973
121056.81,-333.6
121073.723,-73.1
180000.0,0.0
180001.544,-217.19
180004.284,-156.79000000000002
180006.388,-132.35000000000002
180008.059,-253.52
180010.638,-197.65
180013.062,-162.39000000000001
180014.725,-260.86
180017.626,-197.32
180019.732,-178.46
180020.892,-238.87
180024.122,-183.36
180026.551,-162.07
180028.032,-209.56
180031.27,-176.39000000000001
180032.729,-165.92000000000002
180034.687,-187.57
180037.276,-157.55
180039.059,-144.98000000000002
180041.179,-163.84
180043.286,-148.48000000000002
180045.394,-134.86
180048.325,-149.88
180050.271,-140.46
180052.057,-134.53
180054.01,-142.21
180056.117,-128.25
180057.577,-120.57000000000001
180058.716,-122.32000000000001
180061.309,-105.21000000000001
180064.554,-89.5
180067.644,-95.79
180069.429,-88.12
180071.7,-77.64
180074.144,-92.31
180074.793,-90.22
180075.442,-87.78
180076.585,-100.7
180078.207,-91.97
180079.179,-85.69000000000001
180082.432,-92.68
180083.569,-89.89
180085.031,-87.10000000000001
180086.495,-91.64
180088.607,-88.85000000000001
180090.881,-85.71000000000001
180092.182,-88.16000000000001
180093.968,-82.92
180096.404,-78.04
180100.145,-86.08000000000001
180101.769,-83.29
180103.88,-80.5
180106.483,-86.44000000000001
180108.432,-84.0
180110.057,-82.60000000000001
180112.825,-94.83000000000001
180113.798,-91.69000000000001
180115.748,-88.55000000000001
180115.921,-118.58000000000001
180117.707,-112.30000000000001
180119.167,-105.32000000000001
180120.468,-108.81
180121.766,-103.23
180123.552,-97.64
180125.34,-99.04
180126.8,-92.76
180128.586,-88.22
180130.213,-92.42
180131.999,-85.79
180134.597,-79.85000000000001
180136.547,-81.60000000000001
180137.034,-78.11
180138.496,-75.67
180141.097,-77.77000000000001
180142.394,-71.49000000000001
180143.043,-67.30000000000001
180144.831,-68.0
180145.805,-64.86000000000001
180147.429,-62.77000000000001
180150.52,-70.80000000000001
180151.819,-67.31
180153.931,-64.87
180155.883,-69.07000000000001
180157.182,-67.67
180157.832,-65.58000000000001
180159.949,-78.85000000000001
180161.411,-77.11
180162.874,-75.72
180164.826,-81.31
180166.937,-77.12
180169.861,-72.24000000000001
180173.275,-76.43
180174.249,-74.34
180176.199,-71.55000000000001
180178.313,-75.74000000000001
180180.1,-72.95
180182.861,-69.82000000000001
180186.277,-77.5
180187.576,-74.36
180188.876,-72.27000000000001
180191.316,-79.26
180191.965,-77.16000000000001
180192.94,-75.42
180193.756,-84.15
180194.242,-81.36
180195.217,-79.61
180196.842,-80.67
180197.166,-78.22
180198.628,-76.48
180199.93,-80.67
180200.742,-78.58000000000001
180202.691,-75.79
180205.295,-85.57000000000001
180270.573,-34.670000000000016
