x,Curve1
-385.875,66.291
-384.88,18.972
-381.348,37.705
-379.161,43.784
-377.967,5.187
-375.482,25.562
-371.942,37.504
-371.051,-10.243
-368.369,20.497
-365.767,29.436
-364.778,-12.307
-361.887,18.433
-359.077,29.159
-357.784,-5.292
-355.616,18.299
-352.184,33.315
-351.109,6.869
-348.314,30.176
-345.604,36.47
-344.619,-1.842
-341.409,23.967
-339.121,33.906
-337.943,9.318
-335.456,27.764
-331.705,37.49
-331.05,13.259
-329.186,28.13
-325.541,39.072
-324.473,19.559
-321.67,36.075
-318.959,41.368
-317.891,21.641
-315.504,36.155
-311.857,45.382
-311.202,21.008
-308.083,35.737
-305.372,41.102
-304.611,15.585
-301.598,30.743
-298.888,37.251
-297.921,14.093
-295.535,29.965
-291.785,40.621
-291.028,18.678
-289.162,31.904
-285.307,41.703
-284.135,22.262
-281.54,38.491
-278.831,45.429
-277.661,27.489
-275.165,38.429
-271.935,46.439
-271.073,24.568
-269.102,37.008
-265.453,45.305
-264.173,22.219
-261.161,39.021
-258.867,43.742
-257.492,28.876
-255.207,41.674
-252.079,48.04
-250.691,22.166
-248.825,35.464
-245.387,45.191
-244.317,23.391
-241.405,35.761
-238.484,40.197
-237.625,20.827
-235.343,35.269
-231.799,43.495
-230.729,22.195
-227.924,37.138
-225.005,43.147
-223.832,22.491
-221.341,37.863
-218.317,44.157
-217.561,22.5
-214.235,38.373
-211.628,43.452
-210.561,24.297
-207.653,40.384
-205.045,45.105
-204.073,17.73
-201.272,35.818
-198.146,43.328
-197.389,21.17
-193.96,38.974
-191.875,43.266
-190.494,24.182
-189.558,28.187
-188.621,30.976
-187.772,19.54
-186.42,25.832
-184.752,29.337
-184.516,5.964
-182.851,12.113
-181.391,15.046
-180.853,1.894
-179.503,8.83
-178.46,11.119
-177.504,-2.747
-168.881,41.797
