x,Curve1
-182.34,373.64
-181.241,-2.23
-179.008,193.84
-175.748,284.43
-174.823,30.87
-172.587,211.59
-169.464,280.88
-168.842,92.2
-166.594,230.83
-163.184,293.68
-162.573,144.12
-160.318,257.99
-157.19,308.47
-156.437,163.36
-154.465,262.38
-151.051,312.35
-150.158,178.64
-148.185,274.68
-144.912,318.72
-143.881,201.34
-141.619,288.47
-138.915,323.6
-137.888,217.61
-136.052,294.84
-132.633,327.98
-131.893,229.92
-129.628,303.18
-126.635,324.93
-125.754,235.29
-121.78,325.86
873.365,374.54
874.472,-30.06
879.954,298.2
