time,signal
0.0,0.0
-0.599999999999909,-416.14
16.09999999999991,-8.029999999999973
198.30000000000018,0.589999999999975
200.0999999999999,-364.14
222.5,-5.2900000000000205
394.0,0.6499999999999773
395.4000000000001,-285.36
418.0999999999999,-4.170000000000016
592.3000000000002,0.17000000000001592
593.8000000000002,-293.33
611.0999999999999,-5.180000000000007
790.5999999999999,-0.3199999999999932
794.6999999999998,-271.85
819.8000000000002,-4.96999999999997
990.0,-0.25
995.5,-263.8
1015.5,-5.339999999999975
1192.0,-0.18999999999999773
1193.3000000000002,-260.35
1215.5,-3.579999999999984
1387.7,-0.13999999999998636
1391.3,-279.41999999999996
1406.9,-5.230000000000018
1581.3,0.339999999999975
1589.0,-255.56
1609.0,-3.8999999999999773
1781.3,1.25
1786.9,-272.09000000000003
1804.7,-1.3000000000000114
2776.9,1.9499999999999886
2782.9,-350.88
2802.4,-2.7199999999999704
60000.0,0.0
60000.36,-408.48
60001.46,-292.4
60002.957,-212.88
60003.47,-444.53
60004.867,-315.56
60005.778,-253.76
60006.62,-434.89
60007.718,-320.97
60008.774,-256.49
60009.659,-388.71
60010.594,-298.43
60011.787,-240.4
60012.703,-336.62
60013.483,-260.85
60014.812,-209.81
60015.608,-280.23
60016.51,-227.57
60017.98,-179.21
60018.614,-272.2
60019.945,-218.47
60020.836,-179.25
60021.78,-243.22
60022.957,-204.0
60023.992,-162.63
60024.651,-226.6
60025.691,-180.39000000000001
60027.007,-143.86
60027.952,-207.83
60037.814,-32.75
61027.007,0.8799999999999955
61027.558,-400.68
61034.443,-64.70999999999998
120000.0,0.0
120001.099,-375.87
120003.332,-179.79999999999998
120006.592,-89.20999999999998
120007.517,-342.77
120009.753,-162.04999999999998
120012.876,-92.75999999999999
120013.498,-281.44
120015.746,-142.80999999999997
120019.156,-79.95999999999998
120019.767,-229.51999999999998
120022.022,-115.64999999999998
120025.15,-65.16999999999996
120025.903,-210.27999999999997
120027.875,-111.25999999999999
120031.289,-61.289999999999964
120032.182,-195.0
120034.155,-98.95999999999998
120037.428,-54.91999999999996
120038.459,-172.29999999999998
120040.721,-85.16999999999996
120043.425,-50.039999999999964
120044.452,-156.02999999999997
120046.288,-78.80000000000001
120049.707,-45.65999999999997
120050.447,-143.72
120052.712,-70.45999999999998
120055.705,-48.70999999999998
120056.586,-138.35
120060.56,-47.77999999999997
121055.705,0.9000000000000341
121056.812,-403.7
121062.294,-75.44
180000.0,0.0
180001.52,-558.01
180010.91,-41.27999999999997
180025.21,-4.220000000000027
180026.03,-382.75
180037.82,-17.210000000000036
180049.84,-8.440000000000055
180051.77,-322.79
180061.88,-25.779999999999973
180075.04,-0.6900000000000546
180076.35,-248.69
180083.65,-27.840000000000032
180100.24,-2.740000000000009
180101.56,-259.44
180109.42,-21.180000000000064
180124.87,-0.43000000000006366
180126.75,-240.81
180134.62,-15.610000000000014
180150.68,-0.2899999999999636
180151.73,-211.8
180157.07,-39.539999999999964
180175.68,-0.15999999999996817
180177.2,-225.48000000000002
180180.96,-68.33000000000004
180200.46,0.39999999999997726
180201.96,-197.72000000000003
180208.67,-33.64999999999998
180226.14,0.5399999999999636
180227.42,-202.34000000000003
180235.25,-20.129999999999995
181226.14,1.0599999999999454
181227.24,-555.34
181236.63,-31.090000000000032
240000.0,0.0
240001.71,-510.53000000000003
240006.88,-77.11000000000007
240011.85,-38.11000000000007
240013.46,-396.76000000000005
240018.69,-65.91000000000003
240024.58,-33.28000000000003
240026.57,-290.13000000000005
240031.41,-53.13000000000005
240037.75,-24.470000000000027
240038.81,-247.92000000000007
240043.68,-47.50000000000006
240050.48,-18.050000000000068
240051.54,-239.91000000000003
240056.41,-48.240000000000066
240062.75,-12.420000000000073
240063.79,-209.63000000000005
240068.68,-48.180000000000064
240074.58,-25.880000000000052
240075.59,-179.35000000000002
240080.04,-31.420000000000073
240086.85,-12.300000000000068
240087.87,-186.45000000000005
240092.78,-41.700000000000045
240099.57,-11.440000000000055
240101.06,-191.95000000000005
240105.51,-45.61000000000007
240111.85,-15.36000000000007
240113.32,-175.99000000000007
240116.88,-49.53000000000003
241111.85,0.7799999999999727
241113.54,-484.30000000000007
241122.33,-34.960000000000036
300000.0,0.0
300000.86,-420.64
300011.2,-24.349999999999966
300050.18,-0.06999999999999318
