time,signal
0,0
2.44,-44.32
7.362,-16.3984
25.2,-0.446586479
27.64,-34.21842648
32.58782609,-12.5949394
50.4,-0.344798886
52.84,-23.39119889
56.90428571,-10.29200407
75.6,-0.235699304
78.04,-78.1502593
81.48848485,-38.94045323
100.8,-0.787474033
103.24,-62.70251403
106.2347368,-34.24222964
126,-0.631816223
128.44,-63.21165622
131.0865116,-37.03594475
151.2,-0.636946548
153.64,-50.71854655
156.0108333,-31.41794841
176.4,-0.511060856
178.84,-113.9702609
180.9871698,-73.86252784
201.6,-1.148411046
204.04,-67.40681105
206.002069,-45.34975789
226.8,-0.679218647
229.24,-83.86785865
231.0463492,-58.22744883
1226.8,-2.55E-86
1229.24,-115
1231.046349,-40.69775166
